iterations,median_betweeness_centrality,median_vertex_degree,num_opinions,median_pagerank
700,0.023618072960178225,8.5,2,0.048369240090306034
700,0.02705046931053123,8.0,1,0.0482447671104441
182,0.022884969156898978,10.0,2,0.04878513169884263
700,0.024882451856136065,9.0,1,0.05153057229096274
700,0.027806785482224074,10.5,2,0.052195123723096856
700,0.024364151118537083,10.0,2,0.05104335428811506
317,0.025696184906711224,9.0,2,0.049179802217674234
271,0.021921975417847447,9.5,2,0.051029712659835635
113,0.02378747795414462,9.0,2,0.04873219221861047
177,0.026263259157996,9.0,2,0.050786318387890425
162,0.022002923976608184,9.0,2,0.048415211863232145
101,0.027507425972338247,11.0,2,0.05235547089460883
649,0.0271651350598719,9.5,2,0.051162758795721394
149,0.023400673400673398,9.0,2,0.04869963266761358
700,0.023838531513970113,10.0,1,0.05128723930978703
700,0.02452321882146443,9.5,2,0.05036579686028408
147,0.02891054390361869,9.0,2,0.04958838079470897
700,0.027585116172072696,9.0,2,0.05124848888742554
212,0.02612897985705003,9.0,2,0.04877325429849226
700,0.023044880720319315,9.0,2,0.04869682986128864
124,0.03042328042328042,9.0,2,0.05039106088119648
700,0.02603731551099972,9.5,1,0.05119789265824418
700,0.025087826403615877,9.0,2,0.051951171261891034
700,0.026710294254153902,10.0,1,0.0500229978423992
700,0.024675113710201424,10.5,1,0.0512703738020422
134,0.024265630405981287,11.0,2,0.04958876632441321
340,0.023444026733500413,10.0,2,0.04987709837244647
700,0.03074700640490114,9.5,1,0.052717463808945195
700,0.023456790123456788,10.0,2,0.0497187285598
700,0.03277236895657948,8.0,2,0.05102241900486778
700,0.022236145920356443,11.0,1,0.049965874277634825
164,0.021529518240044555,9.0,2,0.04767408912456032
700,0.025368978000556944,9.0,1,0.05005523567268058
700,0.034511358524516415,7.5,1,0.05141823645312403
700,0.02304437149415976,10.0,2,0.04965353652490244
700,0.023405736563631298,9.5,1,0.049833597347957614
700,0.018634297800964466,11.0,1,0.048273791649685024
700,0.02370973730622853,9.0,2,0.04809288677895014
700,0.026040796435533274,9.0,2,0.04943479442879202
108,0.024769098672607442,9.5,2,0.048340641511171095
700,0.019925972338253044,10.0,1,0.04847671765569743
700,0.02153764039728952,10.0,2,0.05042965182901492
700,0.02384897428757078,9.5,2,0.051577365456286925
700,0.021932250660320833,10.0,2,0.048257138462289725
246,0.025088183421516756,9.0,2,0.04894767080735454
700,0.022751200613619817,9.0,2,0.052744923736465305
700,0.02647584374880556,8.5,2,0.05181693395748567
700,0.024333983105912928,10.0,2,0.04972329217539738
700,0.024771240780012707,9.5,2,0.04976501997750942
319,0.021089761440638632,10.0,2,0.05124479362803505
257,0.028522695627958783,10.0,2,0.052416709510617734
200,0.023142346607258887,10.0,2,0.04966051092153542
700,0.022107351712614874,10.0,1,0.050968158681303596
700,0.02565093288777499,10.5,2,0.050037634546404364
161,0.030621693121693116,9.0,2,0.05054293010234642
700,0.03477443609022556,9.5,2,0.05278589950752703
171,0.026354079643553324,10.0,2,0.05073976231551221
215,0.026733500417710943,8.5,2,0.04819937852767948
275,0.02220133667502088,11.0,2,0.04929673481898211
187,0.02216652742968532,9.0,2,0.04861907850097528
700,0.026834447229184072,9.5,2,0.05141704941353346
302,0.024468578854543767,10.5,2,0.05275199340743773
700,0.022859811565951918,10.0,1,0.05151881039700418
150,0.021041028497168848,10.0,2,0.049906133740312636
207,0.024248120300751873,10.0,2,0.048311549015079544
503,0.02383040935672514,7.5,2,0.047054991783941506
700,0.026557133574677434,9.5,2,0.05148429681938231
700,0.027951824004455582,8.5,2,0.05158724072877786
700,0.025697345214889075,10.0,1,0.05023338066238358
198,0.024155295646523717,9.0,2,0.049264263156934496
700,0.022467047247749002,9.5,1,0.04881575380957762
700,0.0221656724657648,9.5,2,0.051245481874644186
139,0.01973230635511337,11.0,2,0.048316225674813744
205,0.023783997029611058,9.5,2,0.05016093648025849
700,0.023370927318295737,10.0,2,0.04805136911890959
700,0.024209830130882765,10.0,2,0.05262098450414334
133,0.02181959528450756,10.0,2,0.04880280323124235
700,0.025337649679754944,9.5,1,0.04948514921773734
177,0.023358163928339365,10.0,2,0.048789041604187386
700,0.026866582720892408,10.0,2,0.05164833963662008
700,0.02811542745753272,8.0,2,0.04902577427783135
135,0.02431193725053374,9.0,2,0.04763023035433084
105,0.02293813236795693,10.0,2,0.05055921535240413
124,0.025351573377889163,9.5,2,0.05066792612265175
228,0.031208809059686246,9.0,2,0.051395579008002325
220,0.024756335282651067,8.5,2,0.04789865753925349
126,0.027673350041771093,10.0,2,0.051570833033081666
700,0.027493502274204024,10.0,1,0.05338128343876737
